question_id,hallucination_id,model,injection_type,original_value,injected_value,detected,reason,confidence,total_flags_by_skeptic,total_claims_reviewed
FB_010_CBE1B721,FB_010_CBE1B721_H1,Gemini 2.5 Flash,percentage,5.1%,16.3%,True,"This calculation contains multiple inconsistencies and errors: 1. The FY2018 percentage (3.3%) used in the sum contradicts the previously stated 14.3% for FY2018. 2. The FY2019 percentage (16.3%) used in the sum contradicts the previously stated 5.1% for FY2019 and appears fabricated. 3. The arithmetic (2.9% + 3.3% + 16.3%) / 3 equals 7.5%, not 3.8%. While the final result of 3.8% is numerically correct if the *actual* correct individual percentages (2.9%, 3.3%, 5.1%) were used, the calculation shown is fundamentally flawed.",high,2,14
FB_011_F50BA584,FB_011_F50BA584_H2,Gemini 2.5 Flash,dollar_amount,"$1,626 million","$1,051 million",False,,,2,9
FB_011_F50BA584,FB_011_F50BA584_H1,Gemini 2.5 Flash,dollar_amount,"$1,660 million","$1,034 million",False,,,2,9
FB_012_41487F3A,FB_012_41487F3A_H2,Gemini 2.5 Flash,dollar_amount,"$2,825 million","$2,035 million",True,"This figure for FY2016 operating income is presented as the 'PRIMARY METRIC' but is contradicted by the figure ($2,825 million) subsequently used for FY2016 operating income in the year-over-year change calculation. This represents a severe internal inconsistency.",high,4,9
FB_012_41487F3A,FB_012_41487F3A_H1,Gemini 2.5 Flash,percentage,21.3%,32.8%,True,"This figure for FY22016 operating income, used in the year-over-year change calculation, directly contradicts the 'PRIMARY METRIC' stated earlier in the output, which claims FY2016 operating income is $2,035 million. This is a clear internal inconsistency.",high,4,9
FB_013_E5C83D85,FB_013_E5C83D85_H2,Gemini 2.5 Flash,dollar_amount,"$2,927 million","$2,397 million",False,,,1,7
FB_013_E5C83D85,FB_013_E5C83D85_H1,Gemini 2.5 Flash,dollar_amount,"$2,628 million","$3,504 million",True,"The reported Cash from Operations for FY2015 ($3,504 million) implies a significant year-over-year decrease of approximately 31.6% to FY2016 ($2,397 million), followed by a sharp increase of approximately 35.9% to FY2017 ($3,257 million). Such a volatile swing (sharp drop then sharp recovery) in operating cash flow is unusual for a large, established, and generally growing company like Adobe without a major, clearly explained business event, suggesting potential inaccuracy or hallucination.",medium,1,7
FB_014_3C2ED91D,FB_014_3C2ED91D_H2,Gemini 2.5 Flash,percentage,32.9%,38.5%,True,"Based on the provided FY2022 Total Revenue ($17,610 million) and FY2022 Operating Income ($4,381 million), the calculated operating margin is approximately 24.9% ($4,381 / $17,610 * 100), which is significantly different from the claimed 38.5%.",high,3,10
FB_014_3C2ED91D,FB_014_3C2ED91D_H1,Gemini 2.5 Flash,dollar_amount,"$5,786 million","$4,381 million",False,,,3,10
FB_015_5E139DB3,FB_015_5E139DB3_H2,Gemini 2.5 Flash,dollar_amount,"$4,895 million","$3,695 million",True,"The Free Cash Flow figure of $4,895 million used in this calculation directly contradicts the Free Cash Flow figure of $3,695 million provided for FY2022 in the 'Supporting Data' section. This indicates an internal inconsistency or hallucination regarding the actual Free Cash Flow for FY2022.",high,3,10
FB_015_5E139DB3,FB_015_5E139DB3_H1,Gemini 2.5 Flash,dollar_amount,"$3,396 million","$4,076 million",False,,,3,10
FB_017_4ABE7642,FB_017_4ABE7642_H3,Gemini 2.5 Flash,dollar_amount,"$8,814 million","$11,608 million",True,"The Cost of Goods Sold (COGS) figure used in this calculation ($11,413 million) directly contradicts the COGS figure stated earlier in the 'PRIMARY METRIC' section for FY2022 ($11,608 million). This is a clear internal inconsistency.",high,3,7
FB_017_4ABE7642,FB_017_4ABE7642_H2,Gemini 2.5 Flash,dollar_amount,"$8,187 million","$5,621 million",True,"When compared to the FY2022 COGS of $11,608 million, this implies a year-over-year increase of over 100%. For a large, established energy company like AES, such a dramatic increase in COGS without a clear explanation (e.g., major acquisition, significant change in business model, or extreme commodity price volatility impacting COGS) is highly unusual and raises a flag for plausibility.",medium,3,7
FB_017_4ABE7642,FB_017_4ABE7642_H1,Gemini 2.5 Flash,dollar_amount,"$8,814 million","$11,413 million",True,"The Cost of Goods Sold (COGS) figure used in this calculation ($11,413 million) directly contradicts the COGS figure stated earlier in the 'PRIMARY METRIC' section for FY2022 ($11,608 million). This is a clear internal inconsistency.",high,3,7
FB_018_6E9F56BB,FB_018_6E9F56BB_H2,Gemini 2.5 Flash,dollar_amount,"$38,425 million","$27,446 million",True,"This figure for FY2021 Total Assets directly contradicts the researcher's own explicitly stated 'Total Assets as of December 31, 2021: $38,425 million' provided just above this calculation. This appears to be a hallucinated number.",high,2,11
FB_018_6E9F56BB,FB_018_6E9F56BB_H1,Gemini 2.5 Flash,dollar_amount,"$39,339 million","$29,233 million",True,"This calculated average total assets figure is incorrect because it uses the hallucinated FY2021 Total Assets figure of $27,446 million instead of the stated $38,425 million. The correct calculation using the stated figures would be ($40,253 million + $38,425 million) / 2 = $39,339 million.",high,2,11
FB_019_A187C1CC,FB_019_A187C1CC_H2,Gemini 2.5 Flash,dollar_amount,"$17,202 million","$14,425 million",True,"The FY2017 Inventory figure used in the calculation of 'Change in Inventory' ($17,202 million) directly contradicts the FY2017 Inventory figure explicitly stated just two lines above ($14,425 million). This is a clear internal inconsistency, indicating a hallucinated number used in the calculation.",high,7,18
FB_019_A187C1CC,FB_019_A187C1CC_H1,Gemini 2.5 Flash,dollar_amount,"$16,632 million","$10,104 million",True,"The FY2017 Inventory figure used in the calculation of 'Change in Inventory' ($17,202 million) directly contradicts the FY2017 Inventory figure explicitly stated just two lines above ($14,425 million). This is a clear internal inconsistency, indicating a hallucinated number used in the calculation.",high,7,18
FB_020_C68C8862,FB_020_C68C8862_H2,Gemini 2.5 Flash,dollar_amount,"$136,004 million","$179,626 million",True,"This FY2016 revenue figure directly contradicts the FY2016 revenue of $136,004 million provided in the 'SUPPORTING DATA' section. The report presents two different revenue figures for the same fiscal year, indicating an internal inconsistency.",high,4,5
FB_020_C68C8862,FB_020_C68C8862_H1,Gemini 2.5 Flash,percentage,30.8%,26.6%,True,"This year-over-year change percentage is inconsistent with the calculation provided immediately after it, '[(177,866 - 136,004) / 136,004 * 100]', which correctly evaluates to 30.8%. It also contradicts the 'Year-over-Year Change: 30.8%' stated in the 'SUPPORTING DATA' section.",high,4,5
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H2,Gemini 2.5 Flash,dollar_amount,"$11,588 million","$14,743 million",True,"The reported net income of $14,743 million for FY2019 appears somewhat high for Amazon's profitability during that specific period, based on general financial knowledge of the company's historical performance.",medium,2,7
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H1,Gemini 2.5 Flash,dollar_amount,"$3,033 million","$2,112 million",True,"The reported net income of $2,112 million for FY2017 seems unusually low for Amazon. When compared to the FY2018 net income of $10,073 million, it implies an approximate 377% year-over-year growth. Such an extreme increase in net income for a company of Amazon's scale is highly improbable without a major, specific, and usually explained event, strongly suggesting a potential hallucination or inaccuracy.",high,2,7
FB_022_466C1ED8,FB_022_466C1ED8_H2,Gemini 2.5 Flash,dollar_amount,"$1,205 million",$947 million,False,,,0,6
FB_022_466C1ED8,FB_022_466C1ED8_H1,Gemini 2.5 Flash,dollar_amount,"$1,063 million","$1,235 million",False,,,0,6
FB_024_214CEB4C,FB_024_214CEB4C_H3,Gemini 2.5 Flash,dollar_amount,"$2,843 million","$2,085 million",True,"This figure for FY2022 Current Liabilities ($2,085 million) directly contradicts the Current Liabilities figure ($2,843 million) used in the subsequent quick ratio calculation for the same period.",high,7,16
FB_024_214CEB4C,FB_024_214CEB4C_H2,Gemini 2.5 Flash,dollar_amount,"$4,196 million","$2,926 million",True,"This figure for FY2023 Current Assets ($2,926 million) in the 'SUPPORTING DATA' section directly contradicts the FY2023 Current Assets figure ($4,196 million) provided in the 'PRIMARY METRIC' section.",high,7,16
FB_024_214CEB4C,FB_024_214CEB4C_H1,Gemini 2.5 Flash,dollar_amount,"$1,058 million",$891 million,True,"This figure for FY2022 Inventories ($891 million) in the 'SUPPORTING DATA' section contradicts the Inventories figure ($1,058 million) used in the quick ratio calculation for FY2022 in the 'PRIMARY METRIC' section.",high,7,16
FB_025_E70F40EB,FB_025_E70F40EB_H3,Gemini 2.5 Flash,large_number,"1,200","1,669",True,"A net income of USD 1,669 million on USD 14,000 million revenue implies a net profit margin of approximately 11.9%. This is significantly higher than Amcor's typical net margins (which are generally in the 5-8% range for a packaging company) and also notably higher than the net margins reported for FY2022 (5.0%) and FY2021 (7.8%) in the same output. Such a sharp, unexplained increase in profitability is suspicious.",high,3,18
FB_025_E70F40EB,FB_025_E70F40EB_H2,Gemini 2.5 Flash,large_number,"13,500","17,880",False,,,3,18
FB_025_E70F40EB,FB_025_E70F40EB_H1,Gemini 2.5 Flash,large_number,"1,100",897,False,,,3,18
FB_027_9BE33B25,FB_027_9BE33B25_H3,Gemini 2.5 Flash,percentage,20.5%,12.6%,True,"This gross margin percentage for FY2023 is inconsistent with the provided Total Revenue ($14,000 million) and Cost of Goods Sold ($11,100 million) for the same period. The correct calculation ( ($14,000M - $11,100M) / $14,000M ) yields approximately 20.71%.",high,6,18
FB_027_9BE33B25,FB_027_9BE33B25_H2,Gemini 2.5 Flash,dollar_amount,"$10,000 million","$8,437 million",False,,,6,18
FB_027_9BE33B25,FB_027_9BE33B25_H1,Gemini 2.5 Flash,percentage,20.5%,9.4%,True,"This gross margin percentage for FY2023 is inconsistent with the provided Total Revenue ($14,000 million) and Cost of Goods Sold ($11,100 million) for the same period. The correct calculation ( ($14,000M - $11,100M) / $14,000M ) yields approximately 20.71%. This also contradicts the '12.6%' gross margin stated earlier for FY2023.",high,6,18
FB_028_C84B8000,FB_028_C84B8000_H2,Gemini 2.5 Flash,dollar_amount,$45 million,$38 million,True,"The restructuring liability is reported as exactly $38 million for Q2 FY2022 and again for June 30, 2023 (which is FY2023 year-end, not Q2 FY2023). It is highly unusual for a restructuring liability, which typically fluctuates as charges are incurred and payments are made, to remain precisely the same over multiple fiscal periods spanning over a year.",high,3,11
FB_028_C84B8000,FB_028_C84B8000_H1,Gemini 2.5 Flash,dollar_amount,$50 million,$38 million,True,"The restructuring liability is reported as exactly $38 million for Q2 FY2022 and again for June 30, 2023 (which is FY2023 year-end, not Q2 FY2023). It is highly unusual for a restructuring liability, which typically fluctuates as charges are incurred and payments are made, to remain precisely the same over multiple fiscal periods spanning over a year.",high,3,11
FB_029_CA5B2B49,FB_029_CA5B2B49_H2,Gemini 2.5 Flash,dollar_amount,"$2,200 million","$2,622 million",True,"The figure is a perfectly round number ($2,100 million), which is highly unusual for a reported financial metric in official company filings. Additionally, it implies a very high year-over-year growth rate of 38.4% from FY2021 ($1,517 million), which is atypical for a large, mature industrial company like Amcor without specific context of significant M&A activity.",high,2,3
FB_029_CA5B2B49,FB_029_CA5B2B49_H1,Gemini 2.5 Flash,dollar_amount,"$2,000 million","$1,517 million",True,"The figure is a perfectly round number ($2,100 million), which is highly unusual for a reported financial metric in official company filings. Additionally, it implies a very high year-over-year growth rate of 38.4% from FY2021 ($1,517 million), which is atypical for a large, mature industrial company like Amcor without specific context of significant M&A activity.",high,2,3
FB_030_DF79B84F,FB_030_DF79B84F_H2,Gemini 2.5 Flash,dollar_amount,"$14,000 million","$16,612 million",True,"This figure directly contradicts the 'Supporting Data' claim of FY 2023 Net Sales being $14,000 million. Additionally, if paired with the $8,955 million for FY 2022 (from the same section), it implies an implausibly high year-over-year growth of approximately 85% for a stable industrial company like Amcor.",high,6,7
FB_030_DF79B84F,FB_030_DF79B84F_H1,Gemini 2.5 Flash,dollar_amount,"$13,500 million","$8,955 million",True,"This figure directly contradicts the 'Supporting Data' claim of FY 2022 Net Sales being $13,500 million. If paired with the $16,612 million for FY 2023 (from the same section), it implies an implausibly high year-over-year growth of approximately 85% for Amcor.",high,6,7
FB_031_E5667B37,FB_031_E5667B37_H3,Gemini 2.5 Flash,dollar_amount,"$1,165 million",$762 million,True,"This D&A figure is exceptionally high for AMD in 2015, especially when compared to its stated revenue of $4,045 million, resulting in a D&A margin of 29.3%. While AMD is an asset-heavy company, this magnitude of D&A is unusually high for typical D&A and could suggest an unstated impairment charge or a hallucinated figure.",medium,6,9
FB_031_E5667B37,FB_031_E5667B37_H2,Gemini 2.5 Flash,dollar_amount,"$5,506 million","$7,678 million",True,This revenue figure is implausibly high for AMD in FY2014. AMD's revenues in the mid-2010s were generally in the $4-6 billion range. A jump to $7.6 billion from $5.3 billion in FY2013 and then a sharp drop to $4.0 billion in FY2015 represents an extremely volatile and unlikely revenue trend for a company of AMD's nature without major M&A or divestitures.,high,6,9
FB_031_E5667B37,FB_031_E5667B37_H1,Gemini 2.5 Flash,percentage,21.2%,29.4%,True,"While mathematically correct based on the provided (and suspicious) D&A and revenue figures for FY2015, a D&A margin of 29.3% is exceptionally high for a semiconductor company, reinforcing the suspicion about the underlying D&A figure's plausibility.",medium,6,9
FB_032_D18D6021,FB_032_D18D6021_H2,Gemini 2.5 Flash,dollar_amount,"$1,202 million","$1,474 million",True,"This inventory figure used in the quick ratio calculation ($1,474 million) directly contradicts the inventory figure explicitly stated in the 'SUPPORTING DATA' section ($1,202 million).",high,4,8
FB_032_D18D6021,FB_032_D18D6021_H1,Gemini 2.5 Flash,dollar_amount,"$4,973 million","$6,844 million",True,"This current liabilities figure used in the quick ratio calculation ($6,844 million) directly contradicts the current liabilities figure explicitly stated in the 'SUPPORTING DATA' section ($4,973 million).",high,4,8
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H3,Gemini 2.5 Flash,dollar_amount,"$10,800 million","$8,249 million",True,"The sum of the reported segment revenues for FY2021 ($8,249 million for Computing and Graphics + $5,600 million for Enterprise, Embedded, and Semi-Custom = $13,849 million) does not match the stated total revenue for FY2021 ($16,400 million). This indicates a significant internal inconsistency or hallucination.",high,4,9
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H2,Gemini 2.5 Flash,dollar_amount,"$9,763 million","$6,395 million",False,,,4,9
FB_033_EE9D3CFB,FB_033_EE9D3CFB_H1,Gemini 2.5 Flash,dollar_amount,"$3,763 million","$4,399 million",True,"The sum of the reported segment revenues for FY2020 ($6,000 million for Computing and Graphics + $4,399 million for Enterprise, Embedded, and Semi-Custom = $10,399 million) does not match the stated total revenue for FY2020 ($6,395 million). This indicates a significant internal inconsistency or hallucination.",high,4,9
FB_034_BDBAA961,FB_034_BDBAA961_H3,Gemini 2.5 Flash,dollar_amount,"$16,420 million","$22,281 million",True,"This figure for FY2021 Total Revenue ($16,420 million) directly contradicts the FY2021 Total Revenue of $22,281 million stated earlier in the report under 'SUPPORTING DATA'.",high,6,9
FB_034_BDBAA961,FB_034_BDBAA961_H2,Gemini 2.5 Flash,percentage,43.8%,33.9%,True,"This percentage increase is inconsistent. If calculated using the stated FY2022 revenue ($23,600 million) and the *stated* FY2021 revenue ($22,281 million), the growth is approximately 5.9%. If calculated using the stated FY2022 revenue ($23,600 million) and the *hallucinated* FY2021 revenue ($16,420 million) used in the calculation, the growth is approximately 43.7%. Neither matches 33.9%.",high,6,9
FB_034_BDBAA961,FB_034_BDBAA961_H1,Gemini 2.5 Flash,dollar_amount,"$16,420 million","$10,590 million",True,"This figure for FY2021 Total Revenue ($16,420 million) directly contradicts the FY2021 Total Revenue of $22,281 million stated earlier in the report under 'SUPPORTING DATA'.",high,6,9
FB_035_15E1E864,FB_035_15E1E864_H3,Gemini 2.5 Flash,percentage,14.0%,6.4%,True,"The reported operating margin of 6.4% is mathematically inconsistent with the provided operating income (USD 1,825 million) and total revenue (USD 13,031 million). The correct calculation (1,825 / 13,031) * 100 yields approximately 14.01%.",high,3,9
FB_035_15E1E864,FB_035_15E1E864_H2,Gemini 2.5 Flash,large_number,"1,832","2,445",True,"The reported operating margin of 17.0% is mathematically inconsistent with the provided operating income (USD 2,445 million) and total revenue (USD 10,965 million). The correct calculation (2,445 / 10,965) * 100 yields approximately 22.30%.",high,3,9
FB_035_15E1E864,FB_035_15E1E864_H1,Gemini 2.5 Flash,large_number,"9,763","12,160",True,"The reported operating margin of 9.0% is mathematically inconsistent with the provided operating income (USD 974 million) and total revenue (USD 12,160 million). The correct calculation (974 / 12,160) * 100 yields approximately 8.01%.",high,3,9
FB_036_47FD0B96,FB_036_47FD0B96_H2,Gemini 2.5 Flash,large_number,"1,028",802,False,,,0,6
FB_036_47FD0B96,FB_036_47FD0B96_H1,Gemini 2.5 Flash,large_number,"1,525","1,829",False,,,0,6
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H3,Gemini 2.5 Flash,dollar_amount,"$3,800 million","$3,135 million",True,"The denominator for the proportional increase calculation ($3,135 million) for Computing and Graphics does not match the previously stated FY2021 sales figure for that segment ($3,800 million). While the final percentage (73.68%) is correct if the correct base ($3,800 million) was used, the intermediate number provided is inconsistent.",high,3,13
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H2,Gemini 2.5 Flash,dollar_amount,"$3,100 million","$2,208 million",True,"The denominator for the proportional increase calculation ($3,135 million) for Computing and Graphics does not match the previously stated FY2021 sales figure for that segment ($3,800 million). While the final percentage (73.68%) is correct if the correct base ($3,800 million) was used, the intermediate number provided is inconsistent.",high,3,13
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H1,Gemini 2.5 Flash,dollar_amount,"$3,100 million","$2,500 million",True,"The denominator for the proportional increase calculation ($3,135 million) for Computing and Graphics does not match the previously stated FY2021 sales figure for that segment ($3,800 million). While the final percentage (73.68%) is correct if the correct base ($3,800 million) was used, the intermediate number provided is inconsistent.",high,3,13
FB_038_9BAA83E2,FB_038_9BAA83E2_H2,Gemini 2.5 Flash,dollar_amount,"$23,600 million","$19,432 million",False,,,2,6
FB_038_9BAA83E2,FB_038_9BAA83E2_H1,Gemini 2.5 Flash,percentage,55%,51.7%,True,"This percentage directly contradicts the 'approximately 55% of total revenue' stated in the primary metric, which is also attributed to the FY2022 10-K. Additionally, using this 51.7% for calculation does not yield the stated $12,980 million for revenue from top five customers.",high,2,6
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H3,Gemini 2.5 Flash,dollar_amount,"$1,000 million","$1,372 million",False,,,1,24
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H2,Gemini 2.5 Flash,percentage,4.000%,0.010%,True,"An interest rate of 0.010% for a senior note due in 2033 is extremely low and highly implausible for American Express, even during periods of historically low interest rates. This rate is effectively zero and does not align with typical corporate bond yields for a long-term maturity from a company like AXP.",high,1,24
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H1,Gemini 2.5 Flash,dollar_amount,"$39,000 million","$46,807 million",False,,,1,24
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H2,Gemini 2.5 Flash,dollar_amount,"$51,000 million","$62,827 million",False,,,4,5
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H1,Gemini 2.5 Flash,percentage,21.6%,29.6%,True,"Based on the provided International revenue ($11,000 million) and Total Revenue ($62,827 million), the calculated percentage is approximately 17.50%. The claimed 29.6% is mathematically incorrect and significantly deviates from the calculated value. Furthermore, the sum of the two reported percentages (78.4% + 29.6% = 108%) is impossible for two segments of total revenue.",high,4,5
FB_041_EB5B1B78,FB_041_EB5B1B78_H3,Gemini 2.5 Flash,dollar_amount,"$36,090 million","$48,564 million",True,"This figure for FY2020 Total Revenue is inconsistent with the Operating Margin of 13.4% and the Operating Income of $4,825 million also stated for FY2020. If the margin is 13.4% and income is $4,825M, revenue should be $36,007M. If income is $4,825M and revenue is $48,564M, margin should be 9.9%.",high,6,14
FB_041_EB5B1B78,FB_041_EB5B1B78_H2,Gemini 2.5 Flash,dollar_amount,"$4,825 million","$5,847 million",True,"This figure for FY2020 Operating Income is inconsistent with the Operating Margin of 13.4% and the Total Revenue of $48,564 million also stated for FY2020. It also contradicts the $5,847 million operating income used in the calculation for the FY2020 operating margin.",high,6,14
FB_041_EB5B1B78,FB_041_EB5B1B78_H1,Gemini 2.5 Flash,dollar_amount,"$36,090 million","$49,343 million",True,"This figure for FY2020 Total Revenue is inconsistent with the Operating Margin of 13.4% and the Operating Income of $4,825 million also stated for FY2020. If the margin is 13.4% and income is $4,825M, revenue should be $36,007M. If income is $4,825M and revenue is $48,564M, margin should be 9.9%.",high,6,14
FB_042_1741E456,FB_042_1741E456_H2,Gemini 2.5 Flash,dollar_amount,"$18,816 million","$23,630 million",True,Financial services companies like American Express typically do not report 'Cost of Goods Sold' as a standard line item on their income statements. The presence of such a large COGS figure is highly unusual and suggests misinterpretation or hallucination of financial statement structure for this industry.,high,7,12
FB_042_1741E456,FB_042_1741E456_H1,Gemini 2.5 Flash,dollar_amount,"$28,842 million","$17,915 million",True,"This figure is internally inconsistent with the provided Total Revenue ($47,658 million) and COGS ($23,630 million) for FY2021. The correct calculation (Total Revenue - COGS) should be $47,658 million - $23,630 million = $24,028 million, not $17,915 million. This is a clear calculation error.",high,7,12
FB_043_1BA81F6A,FB_043_1BA81F6A_H3,Gemini 2.5 Flash,percentage,20.1%,24.1%,True,The effective tax rate for FY2021 is explicitly stated as 24.1% in the 'PRIMARY METRIC' section. The use of '20.1%' in this calculation creates a direct internal inconsistency.,high,5,13
FB_043_1BA81F6A,FB_043_1BA81F6A_H2,Gemini 2.5 Flash,dollar_amount,"$7,667 million","$5,968 million",True,"The 'Income Before Income Taxes' for FY2022 is stated as $7,667 million earlier in the 'SUPPORTING DATA' section. Using '$5,968 million' as the base for calculating tax expense here is a clear internal inconsistency.",high,5,13
FB_043_1BA81F6A,FB_043_1BA81F6A_H1,Gemini 2.5 Flash,percentage,20.1%,31.3%,True,The effective tax rate for FY2021 is explicitly stated as 24.1% in the 'PRIMARY METRIC' section. The use of '20.1%' in this calculation creates a direct internal inconsistency.,high,5,13
