hallucination_id,type,original_value,injected_value,original_numeric,injected_numeric,position_char,sentence_approx,perturbation_delta,question_id
FB_036_47FD0B96_H2,large_number,"1,028",802,1028,802,378,1,-0.2195,FB_036_47FD0B96
FB_036_47FD0B96_H1,large_number,"1,525","1,829",1525,1829,666,1,0.1995,FB_036_47FD0B96
FB_037_CB0A4D6D_H3,dollar_amount,"$3,800 million","$3,135 million",3800,3135,852,2,-0.175,FB_037_CB0A4D6D
FB_037_CB0A4D6D_H2,dollar_amount,"$3,100 million","$2,208 million",3100,2208,1004,3,-0.2879,FB_037_CB0A4D6D
FB_037_CB0A4D6D_H1,dollar_amount,"$3,100 million","$2,500 million",3100,2500,1085,3,-0.1935,FB_037_CB0A4D6D
FB_038_9BAA83E2_H2,dollar_amount,"$23,600 million","$19,432 million",23600,19432,373,3,-0.1766,FB_038_9BAA83E2
FB_038_9BAA83E2_H1,percentage,55%,51.7%,55,51.7,533,4,-3.2875,FB_038_9BAA83E2
FB_039_FDBB6DC2_H3,dollar_amount,"$1,000 million","$1,372 million",1000,1372,383,4,0.372,FB_039_FDBB6DC2
FB_039_FDBB6DC2_H2,percentage,4.000%,0.010%,4.000,0.010,448,5,-4.2167,FB_039_FDBB6DC2
FB_039_FDBB6DC2_H1,dollar_amount,"$39,000 million","$46,807 million",39000,46807,682,9,0.2002,FB_039_FDBB6DC2
FB_040_DBF8FC6A_H2,dollar_amount,"$51,000 million","$62,827 million",51000,62827,534,4,0.2319,FB_040_DBF8FC6A
FB_040_DBF8FC6A_H1,percentage,21.6%,29.6%,21.6,29.6,765,7,8.0344,FB_040_DBF8FC6A
FB_041_EB5B1B78_H3,dollar_amount,"$36,090 million","$48,564 million",36090,48564,610,5,0.3456,FB_041_EB5B1B78
FB_041_EB5B1B78_H2,dollar_amount,"$4,825 million","$5,847 million",4825,5847,732,6,0.2118,FB_041_EB5B1B78
FB_041_EB5B1B78_H1,dollar_amount,"$36,090 million","$49,343 million",36090,49343,775,6,0.3672,FB_041_EB5B1B78
FB_042_1741E456_H2,dollar_amount,"$18,816 million","$23,630 million",18816,23630,589,2,0.2558,FB_042_1741E456
FB_042_1741E456_H1,dollar_amount,"$28,842 million","$17,915 million",28842,17915,686,2,-0.3789,FB_042_1741E456
FB_043_1BA81F6A_H3,percentage,20.1%,24.1%,20.1,24.1,110,1,4.0405,FB_043_1BA81F6A
FB_043_1BA81F6A_H2,dollar_amount,"$7,667 million","$5,968 million",7667,5968,672,5,-0.2216,FB_043_1BA81F6A
FB_043_1BA81F6A_H1,percentage,20.1%,31.3%,20.1,31.3,894,5,11.2441,FB_043_1BA81F6A
FB_044_899DEDA7_H3,dollar_amount,"$106,196 million","$87,723 million",106196,87723,259,2,-0.174,FB_044_899DEDA7
FB_044_899DEDA7_H2,dollar_amount,"$58,160 million","$75,098 million",58160,75098,359,3,0.2912,FB_044_899DEDA7
FB_044_899DEDA7_H1,dollar_amount,"$50,000 million","$35,269 million",50000,35269,458,4,-0.2946,FB_044_899DEDA7
FB_045_3960FE69_H2,percentage,5.1%,0.0%,5.1,0.0,569,8,-10.4222,FB_045_3960FE69
FB_045_3960FE69_H1,percentage,6.3%,0.1%,6.3,0.1,659,11,-6.1559,FB_045_3960FE69
FB_046_E323A993_H2,dollar_amount,"$1,034 million","$1,420 million",1034,1420,275,2,0.3732,FB_046_E323A993
FB_046_E323A993_H1,dollar_amount,$977 million,$650 million,977,650,401,3,-0.3343,FB_046_E323A993
FB_047_A9C061FE_H3,dollar_amount,"$1,426 million",$966 million,1426,966,150,1,-0.3228,FB_047_A9C061FE
FB_047_A9C061FE_H2,dollar_amount,"$1,019 million",$832 million,1019,832,603,4,-0.1839,FB_047_A9C061FE
FB_047_A9C061FE_H1,dollar_amount,$263 million,$208 million,263,208,668,5,-0.211,FB_047_A9C061FE
FB_048_79F71CE3_H3,dollar_amount,"$1,519 million","$1,823 million",1519,1823,194,2,0.2,FB_048_79F71CE3
FB_048_79F71CE3_H2,dollar_amount,$684 million,$522 million,684,522,281,2,-0.2365,FB_048_79F71CE3
FB_048_79F71CE3_H1,dollar_amount,$606 million,$721 million,606,721,875,2,0.1904,FB_048_79F71CE3
FB_049_4416C718_H3,dollar_amount,"$1,173 million",$924 million,1173,924,211,3,-0.2126,FB_049_4416C718
FB_049_4416C718_H2,percentage,2.9%,0.0%,2.9,0.0,823,3,-10.786,FB_049_4416C718
FB_049_4416C718_H1,percentage,2.9%,0.0%,2.9,0.0,1043,6,-10.4915,FB_049_4416C718
FB_050_A0B82AEA_H2,dollar_amount,"$3,719 million","$2,780 million",3719,2780,214,3,-0.2524,FB_050_A0B82AEA
FB_050_A0B82AEA_H1,dollar_amount,"$3,579 million","$4,922 million",3579,4922,310,3,0.3751,FB_050_A0B82AEA
FB_051_091D46D5_H3,dollar_amount,"$46,294 million","$29,580 million",46294,29580,696,8,-0.361,FB_051_091D46D5
FB_051_091D46D5_H2,dollar_amount,"$47,262 million","$55,020 million",47262,55020,799,8,0.1642,FB_051_091D46D5
FB_051_091D46D5_H1,percentage,2%,10.3%,2,10.3,2044,18,8.334,FB_051_091D46D5
FB_052_FC76DF78_H3,large_number,"1,846","1,157",1846,1157,698,8,-0.373,FB_052_FC76DF78
FB_052_FC76DF78_H2,large_number,"47,262","32,254",47262,32254,808,9,-0.3175,FB_052_FC76DF78
FB_052_FC76DF78_H1,large_number,"1,570","1,229",1570,1229,847,9,-0.2174,FB_052_FC76DF78
FB_053_05E755A5_H3,dollar_amount,"$1,518 million","$1,210 million",1518,1210,133,3,-0.203,FB_053_05E755A5
FB_053_05E755A5_H2,large_number,"1,188","1,421",1188,1421,253,3,0.1963,FB_053_05E755A5
FB_053_05E755A5_H1,large_number,"1,045",852,1045,852,646,3,-0.1844,FB_053_05E755A5
FB_054_F1BBC565_H3,dollar_amount,"$1,200 million",$911 million,1200,911,138,3,-0.2412,FB_054_F1BBC565
FB_054_F1BBC565_H2,dollar_amount,"$3,200 million","$2,191 million",3200,2191,441,5,-0.3154,FB_054_F1BBC565
FB_054_F1BBC565_H1,dollar_amount,"$1,200 million",$789 million,1200,789,879,9,-0.3427,FB_054_F1BBC565
FB_055_B75D0172_H3,large_number,"1,024",822,1024,822,123,3,-0.1968,FB_055_B75D0172
FB_055_B75D0172_H2,large_number,"1,040",698,1040,698,178,4,-0.3289,FB_055_B75D0172
FB_055_B75D0172_H1,large_number,"1,024","1,272",1024,1272,365,6,0.2418,FB_055_B75D0172
FB_056_E46FAB20_H3,dollar_amount,"$1,800 million","$1,519 million",1800,1519,381,3,-0.1561,FB_056_E46FAB20
FB_056_E46FAB20_H2,dollar_amount,$600 million,$738 million,600,738,479,3,0.2308,FB_056_E46FAB20
FB_056_E46FAB20_H1,dollar_amount,"$1,900 million","$1,307 million",1900,1307,1024,3,-0.3119,FB_056_E46FAB20
FB_057_2D006C3F_H3,dollar_amount,$467.5 million,$606.8 million,467.5,606.8,412,7,0.2979,FB_057_2D006C3F
FB_057_2D006C3F_H2,dollar_amount,$360.6 million,$259.8 million,360.6,259.8,481,8,-0.2795,FB_057_2D006C3F
FB_057_2D006C3F_H1,dollar_amount,"$1,197.5 million",$788.1 million,1197.5,788.1,774,13,-0.3419,FB_057_2D006C3F
FB_058_4FC4F0E9_H3,dollar_amount,"$4,711 million","$5,585 million",4711,5585,120,3,0.1856,FB_058_4FC4F0E9
FB_058_4FC4F0E9_H2,percentage,101.6%,91.9%,101.6,91.9,315,3,-9.6753,FB_058_4FC4F0E9
FB_058_4FC4F0E9_H1,dollar_amount,"$9,493 million","$12,544 million",9493,12544,457,4,0.3214,FB_058_4FC4F0E9
FB_060_D8048F85_H2,dollar_amount,"$83,535 million","$115,274 million",83535,115274,97,1,0.3799,FB_060_D8048F85
FB_060_D8048F85_H1,dollar_amount,"$139,660 million","$85,028 million",139660,85028,201,1,-0.3912,FB_060_D8048F85
FB_061_B30537F0_H3,dollar_amount,"$62,283 million","$52,278 million",62283,52278,800,6,-0.1606,FB_061_B30537F0
FB_061_B30537F0_H2,dollar_amount,"$21,319 million","$13,434 million",21319,13434,987,6,-0.3699,FB_061_B30537F0
FB_061_B30537F0_H1,percentage,23.0%,14.4%,23.0,14.4,1587,12,-8.5814,FB_061_B30537F0
FB_062_CCEDD88C_H1,dollar_amount,"$156,898 million","$191,569 million",156898,191569,1668,13,0.221,FB_062_CCEDD88C
FB_063_38B981AD_H2,percentage,7.1%,0.9%,7.1,0.9,1024,4,-6.2272,FB_063_38B981AD
FB_063_38B981AD_H1,dollar_amount,"$58,658 million","$71,042 million",58658,71042,1103,5,0.2111,FB_063_38B981AD
FB_064_7576A9AF_H3,dollar_amount,"$14,800 million","$12,426 million",14800,12426,644,2,-0.1604,FB_064_7576A9AF
FB_064_7576A9AF_H2,dollar_amount,"$15,300 million","$18,525 million",15300,18525,854,2,0.2108,FB_064_7576A9AF
FB_064_7576A9AF_H1,dollar_amount,"$15,100 million","$19,162 million",15100,19162,1203,2,0.269,FB_064_7576A9AF
FB_065_8F3B2425_H3,dollar_amount,"$58,658 million","$41,886 million",58658,41886,329,3,-0.2859,FB_065_8F3B2425
FB_065_8F3B2425_H2,dollar_amount,"$26,210 million","$18,532 million",26210,18532,752,7,-0.2929,FB_065_8F3B2425
FB_065_8F3B2425_H1,dollar_amount,$382 billion,$469 billion,382,469,1058,10,0.2272,FB_065_8F3B2425
FB_067_92C7D508_H3,percentage,20.0%,9.5%,20.0,9.5,103,1,-10.5072,FB_067_92C7D508
FB_067_92C7D508_H2,dollar_amount,"$1,200 million","$1,513 million",1200,1513,288,5,0.261,FB_067_92C7D508
FB_067_92C7D508_H1,dollar_amount,"$5,500 million","$3,936 million",5500,3936,602,8,-0.2844,FB_067_92C7D508
FB_068_46FFC913_H2,dollar_amount,"$86,180.5 million","$58,656.0 million",86180.5,58656.0,417,1,-0.3194,FB_068_46FFC913
FB_068_46FFC913_H1,percentage,1.45%,0.01%,1.45,0.01,550,4,-11.0708,FB_068_46FFC913
FB_069_15B93D82_H2,percentage,44.2%,51.5%,44.2,51.5,126,1,7.2957,FB_069_15B93D82
FB_069_15B93D82_H1,dollar_amount,"$33,014 million","$25,413 million",33014,25413,648,4,-0.2302,FB_069_15B93D82
FB_070_4418F850_H3,dollar_amount,"$7,964 million","$5,694 million",7964,5694,142,2,-0.285,FB_070_4418F850
FB_070_4418F850_H2,dollar_amount,"$11,952 million","$14,585 million",11952,14585,211,2,0.2203,FB_070_4418F850
FB_070_4418F850_H1,dollar_amount,"$11,952 million","$14,512 million",11952,14512,504,4,0.2142,FB_070_4418F850
FB_071_0CB99E74_H3,dollar_amount,"$3,167 million","$4,292 million",3167,4292,879,6,0.3552,FB_071_0CB99E74
FB_071_0CB99E74_H2,dollar_amount,$111 million,$73 million,111,73,1411,8,-0.3454,FB_071_0CB99E74
FB_071_0CB99E74_H1,dollar_amount,"$10,248 million","$7,381 million",10248,7381,1459,9,-0.2797,FB_071_0CB99E74
FB_072_05A484DC_H2,dollar_amount,"$11,500 million","$8,255 million",11500,8255,200,2,-0.2822,FB_072_05A484DC
FB_072_05A484DC_H1,large_number,"3,206","2,118",3206,2118,357,2,-0.3393,FB_072_05A484DC
FB_073_5495DBB9_H3,percentage,13.9%,9.9%,13.9,9.9,201,2,-4.0411,FB_073_5495DBB9
FB_073_5495DBB9_H2,dollar_amount,$264 million,$221 million,264,221,397,5,-0.1646,FB_073_5495DBB9
FB_073_5495DBB9_H1,dollar_amount,$292 million,$207 million,292,207,506,5,-0.2914,FB_073_5495DBB9
FB_074_499976A7_H2,dollar_amount,"$8,108 million","$6,078 million",8108,6078,482,1,-0.2503,FB_074_499976A7
FB_074_499976A7_H1,dollar_amount,"$7,400 million","$9,948 million",7400,9948,770,1,0.3444,FB_074_499976A7
FB_075_D5F39BB5_H2,dollar_amount,"$59,431 million","$38,256 million",59431,38256,99,1,-0.3563,FB_075_D5F39BB5
FB_075_D5F39BB5_H1,dollar_amount,"$53,189 million","$41,694 million",53189,41694,211,1,-0.2161,FB_075_D5F39BB5
FB_076_1BF5949C_H3,dollar_amount,"$194,579 million","$124,200 million",194579,124200,71,1,-0.3617,FB_076_1BF5949C
FB_076_1BF5949C_H2,dollar_amount,"$21,643 million","$27,991 million",21643,27991,225,1,0.2933,FB_076_1BF5949C
FB_076_1BF5949C_H1,dollar_amount,"$22,389 million","$29,388 million",22389,29388,604,1,0.3126,FB_076_1BF5949C
FB_077_6547C156_H3,dollar_amount,"$3,100 million","$2,148 million",3100,2148,84,1,-0.3072,FB_077_6547C156
FB_077_6547C156_H2,dollar_amount,"$2,500 million","$3,128 million",2500,3128,502,1,0.2512,FB_077_6547C156
FB_077_6547C156_H1,dollar_amount,"$128,000 million","$78,204 million",128000,78204,603,1,-0.389,FB_077_6547C156
FB_078_F8A3C776_H2,dollar_amount,$3.0 billion,$2.0 billion,3.0,2.0,741,6,-0.3456,FB_078_F8A3C776
FB_078_F8A3C776_H1,dollar_amount,$2.0 billion,$1.4 billion,2.0,1.4,1044,8,-0.3041,FB_078_F8A3C776
FB_079_C8770283_H3,dollar_amount,$0.50 ,$0.68 ,0.50,0.68,131,1,0.3553,FB_079_C8770283
FB_079_C8770283_H2,dollar_amount,$0.50 ,$0.69 ,0.50,0.69,397,5,0.3708,FB_079_C8770283
FB_079_C8770283_H1,dollar_amount,$1.98 ,$1.25 ,1.98,1.25,450,7,-0.3703,FB_079_C8770283
FB_081_4E1CC3D9_H2,large_number,"48,123,456","63,263,625",48123456,63263625,343,6,0.3146,FB_081_4E1CC3D9
FB_081_4E1CC3D9_H1,large_number,"9,876,543","12,416,701",9876543,12416701,764,15,0.2572,FB_081_4E1CC3D9
FB_082_4FFC55E4_H2,dollar_amount,"$1,059 million","$1,334 million",1059,1334,174,2,0.2594,FB_082_4FFC55E4
FB_082_4FFC55E4_H1,dollar_amount,$30 million,$37 million,30,37,1880,11,0.2245,FB_082_4FFC55E4
FB_083_62A760DF_H3,dollar_amount,"$2,972 million","$3,586 million",2972,3586,430,4,0.2066,FB_083_62A760DF
FB_083_62A760DF_H2,dollar_amount,"$2,731 million","$3,712 million",2731,3712,671,6,0.3593,FB_083_62A760DF
FB_083_62A760DF_H1,dollar_amount,"$3,556 million","$2,326 million",3556,2326,789,7,-0.3459,FB_083_62A760DF
FB_084_403F35B5_H2,dollar_amount,"$1,205 million",$952 million,1205,952,84,1,-0.2099,FB_084_403F35B5
FB_084_403F35B5_H1,dollar_amount,"$1,205 million",$735 million,1205,735,406,1,-0.3898,FB_084_403F35B5
FB_085_149EBAE9_H3,dollar_amount,"$1,174 million",$772 million,1174,772,345,4,-0.3422,FB_085_149EBAE9
FB_085_149EBAE9_H2,dollar_amount,"$1,174 million",$898 million,1174,898,541,6,-0.2354,FB_085_149EBAE9
FB_085_149EBAE9_H1,dollar_amount,"$1,905 million","$1,353 million",1905,1353,622,6,-0.2898,FB_085_149EBAE9
FB_086_889F46BB_H3,dollar_amount,"$93,775 million","$70,366 million",93775,70366,202,1,-0.2496,FB_086_889F46BB
FB_086_889F46BB_H2,dollar_amount,"$16,676 million","$22,612 million",16676,22612,405,1,0.356,FB_086_889F46BB
FB_086_889F46BB_H1,dollar_amount,"$14,714 million","$8,873 million",14714,8873,605,1,-0.397,FB_086_889F46BB
FB_087_99FD2FB2_H3,percentage,81.1%,70.3%,81.1,70.3,188,1,-10.7797,FB_087_99FD2FB2
FB_087_99FD2FB2_H2,dollar_amount,"$15,157 million","$20,998 million",15157,20998,1061,12,0.3853,FB_087_99FD2FB2
FB_087_99FD2FB2_H1,dollar_amount,"$67,427 million","$84,991 million",67427,84991,1159,13,0.2605,FB_087_99FD2FB2
FB_088_DD231ABD_H3,dollar_amount,"$94,943 million","$130,473 million",94943,130473,84,1,0.3742,FB_088_DD231ABD
FB_088_DD231ABD_H2,dollar_amount,"$15,120 million","$19,470 million",15120,19470,701,2,0.2877,FB_088_DD231ABD
FB_088_DD231ABD_H1,dollar_amount,"$14,230 million","$18,618 million",14230,18618,908,2,0.3084,FB_088_DD231ABD
FB_089_CF6163C6_H2,dollar_amount,$2.35 ,$3.05 ,2.35,3.05,117,1,0.2996,FB_089_CF6163C6
FB_089_CF6163C6_H1,percentage,22.8%,31.6%,22.8,31.6,476,10,8.8459,FB_089_CF6163C6
FB_090_72CFB567_H3,dollar_amount,"$46,211 million","$62,980 million",46211,62980,570,1,0.3629,FB_090_72CFB567
FB_090_72CFB567_H2,dollar_amount,"$34,678 million","$48,060 million",34678,48060,690,2,0.3859,FB_090_72CFB567
FB_090_72CFB567_H1,dollar_amount,"$34,678 million","$40,543 million",34678,40543,709,2,0.1691,FB_090_72CFB567
FB_091_82F6C167_H3,dollar_amount,"$3,694 million","$4,690 million",3694,4690,323,2,0.2697,FB_091_82F6C167
FB_091_82F6C167_H2,dollar_amount,"$3,650 million","$2,388 million",3650,2388,418,2,-0.3457,FB_091_82F6C167
FB_091_82F6C167_H1,dollar_amount,"$3,580 million","$2,481 million",3580,2481,513,2,-0.3069,FB_091_82F6C167
FB_092_1FF70EDD_H1,dollar_amount,$13.0 billion,$16.9 billion,13.0,16.9,166,1,0.3024,FB_092_1FF70EDD
FB_093_3013F02B_H1,dollar_amount,"$3,500 million","$4,412 million",3500,4412,129,1,0.2607,FB_093_3013F02B
FB_094_62DF77C2_H3,dollar_amount,"$24,000 million","$32,304 million",24000,32304,227,1,0.346,FB_094_62DF77C2
FB_094_62DF77C2_H2,percentage,19.87%,26.36%,19.87,26.36,743,2,6.4922,FB_094_62DF77C2
FB_094_62DF77C2_H1,percentage,19.87%,25.10%,19.87,25.10,1518,7,5.2279,FB_094_62DF77C2
FB_095_25B2B23C_H2,dollar_amount,"$14,170 million","$9,112 million",14170,9112,328,3,-0.357,FB_095_25B2B23C
FB_095_25B2B23C_H1,dollar_amount,"$4,020 million","$5,399 million",4020,5399,462,3,0.3429,FB_095_25B2B23C
FB_096_3F49DA9A_H3,dollar_amount,"$3,478,000 million","$2,632,855 million",3478000,2632855,181,2,-0.243,FB_096_3F49DA9A
FB_096_3F49DA9A_H2,dollar_amount,"$208,000 million","$126,259 million",208000,126259,299,2,-0.393,FB_096_3F49DA9A
