qid,method,score
FB_022_466C1ED8,vanilla,5
FB_024_214CEB4C,vanilla,5
FB_025_E70F40EB,vanilla,2
FB_027_9BE33B25,vanilla,5
FB_028_C84B8000,vanilla,4
FB_029_CA5B2B49,vanilla,5
FB_030_DF79B84F,vanilla,5
FB_031_E5667B37,vanilla,5
FB_032_D18D6021,vanilla,5
FB_033_EE9D3CFB,vanilla,3
FB_034_BDBAA961,vanilla,5
FB_035_15E1E864,vanilla,2
FB_036_47FD0B96,vanilla,4
FB_037_CB0A4D6D,vanilla,5
FB_038_9BAA83E2,vanilla,5
FB_039_FDBB6DC2,vanilla,5
FB_040_DBF8FC6A,vanilla,4
FB_041_EB5B1B78,vanilla,4
FB_042_1741E456,vanilla,1
FB_043_1BA81F6A,vanilla,5
FB_044_899DEDA7,vanilla,5
FB_045_3960FE69,vanilla,5
FB_046_E323A993,vanilla,4
FB_047_A9C061FE,vanilla,5
FB_048_79F71CE3,vanilla,4
FB_049_4416C718,vanilla,5
FB_050_A0B82AEA,vanilla,2
FB_051_091D46D5,vanilla,4
FB_052_FC76DF78,vanilla,2
FB_053_05E755A5,vanilla,5
FB_054_F1BBC565,vanilla,5
FB_055_B75D0172,vanilla,5
FB_056_E46FAB20,vanilla,4
FB_057_2D006C3F,vanilla,5
FB_058_4FC4F0E9,vanilla,5
FB_060_D8048F85,vanilla,5
FB_061_B30537F0,vanilla,3
FB_062_CCEDD88C,vanilla,3
FB_063_38B981AD,vanilla,5
FB_064_7576A9AF,vanilla,4
FB_065_8F3B2425,vanilla,2
FB_067_92C7D508,vanilla,5
FB_068_46FFC913,vanilla,5
FB_069_15B93D82,vanilla,5
FB_070_4418F850,vanilla,5
FB_071_0CB99E74,vanilla,5
FB_072_05A484DC,vanilla,4
FB_073_5495DBB9,vanilla,5
FB_074_499976A7,vanilla,5
FB_075_D5F39BB5,vanilla,2
FB_076_1BF5949C,vanilla,5
FB_077_6547C156,vanilla,4
FB_078_F8A3C776,vanilla,4
FB_079_C8770283,vanilla,5
FB_081_4E1CC3D9,vanilla,4
FB_082_4FFC55E4,vanilla,4
FB_083_62A760DF,vanilla,5
FB_084_403F35B5,vanilla,5
FB_085_149EBAE9,vanilla,5
FB_086_889F46BB,vanilla,5
FB_087_99FD2FB2,vanilla,5
FB_088_DD231ABD,vanilla,2
FB_089_CF6163C6,vanilla,5
FB_090_72CFB567,vanilla,5
FB_091_82F6C167,vanilla,4
FB_092_1FF70EDD,vanilla,3
FB_093_3013F02B,vanilla,4
FB_094_62DF77C2,vanilla,2
FB_095_25B2B23C,vanilla,4
FB_096_3F49DA9A,vanilla,5
FB_097_2BA7758E,vanilla,3
FB_098_7154A728,vanilla,5
FB_099_6BE111D5,vanilla,5
FB_100_6814F36E,vanilla,5
FB_101_79109208,vanilla,5
FB_102_F5764A3D,vanilla,5
FB_103_98E6E9E2,vanilla,5
FB_104_AE0FFD33,vanilla,4
FB_105_61DCE693,vanilla,2
FB_106_EB0A9203,vanilla,4
FB_107_B17259C6,vanilla,5
FB_108_8E72B311,vanilla,4
FB_109_F3781DA6,vanilla,4
FB_110_74F7847F,vanilla,4
FB_111_A4B199F5,vanilla,4
FB_112_2DC55A31,vanilla,4
FB_113_30E7F266,vanilla,5
FB_114_ACC06CE8,vanilla,4
FB_115_AE55E4C4,vanilla,2
FB_116_1C09CCA7,vanilla,5
FB_117_C880E731,vanilla,4
FB_118_8B6021A4,vanilla,4
FB_119_3CD84B18,vanilla,5
FB_120_223C47BE,vanilla,5
FB_124_C0D9EB5C,vanilla,2
FB_125_E7A2D24B,vanilla,4
FB_126_3313FCA9,vanilla,5
FB_127_E1B380E5,vanilla,4
FB_128_F410AC0E,vanilla,3
FB_129_1F62F697,vanilla,5
FB_130_B646D047,vanilla,5
FB_131_3A78CB5F,vanilla,5
FB_132_9F7A4F77,vanilla,5
FB_133_F4882588,vanilla,2
FB_134_8EAD738D,vanilla,3
FB_135_DFC4B0A4,vanilla,2
FB_137_A71B03EF,vanilla,5
FB_138_1767BBA1,vanilla,4
FB_139_4FC46F83,vanilla,5
FB_140_E38BA3D2,vanilla,4
FB_141_339C8E4B,vanilla,4
FB_142_54C31BE1,vanilla,5
FB_143_A0EA48F4,vanilla,4
FB_144_BD395CC4,vanilla,3
FB_145_F02E8ED1,vanilla,3
FB_146_6EE83766,vanilla,4
FB_147_D81E1F94,vanilla,2
FB_148_2F878B14,vanilla,2
FB_149_247B6607,vanilla,4
FB_150_3E3CE551,vanilla,5
FB_001_F18BFC11,ours,2
FB_002_42BE1D74,ours,4
FB_003_959AE4F2,ours,4
FB_004_FF1B8BC2,ours,5
FB_005_FE85BE68,ours,2
FB_006_A4622E06,ours,5
FB_007_31B558AC,ours,2
FB_008_77FDE37A,ours,2
FB_009_ABDB2F6B,ours,5
FB_010_CBE1B721,ours,5
FB_011_F50BA584,ours,5
FB_012_41487F3A,ours,5
FB_013_E5C83D85,ours,5
FB_014_3C2ED91D,ours,5
FB_015_5E139DB3,ours,4
FB_017_4ABE7642,ours,4
FB_018_6E9F56BB,ours,5
FB_019_A187C1CC,ours,5
FB_020_C68C8862,ours,5
FB_021_8ECDBFF6,ours,3
FB_022_466C1ED8,ours,5
FB_024_214CEB4C,ours,5
FB_025_E70F40EB,ours,4
FB_027_9BE33B25,ours,1
FB_028_C84B8000,ours,4
FB_029_CA5B2B49,ours,4
FB_030_DF79B84F,ours,4
FB_031_E5667B37,ours,5
FB_032_D18D6021,ours,4
FB_033_EE9D3CFB,ours,4
FB_034_BDBAA961,ours,5
FB_035_15E1E864,ours,2
FB_036_47FD0B96,ours,4
FB_037_CB0A4D6D,ours,2
FB_038_9BAA83E2,ours,5
FB_039_FDBB6DC2,ours,5
FB_040_DBF8FC6A,ours,5
FB_041_EB5B1B78,ours,2
FB_042_1741E456,ours,2
FB_043_1BA81F6A,ours,5
FB_044_899DEDA7,ours,5
FB_045_3960FE69,ours,5
FB_046_E323A993,ours,4
FB_047_A9C061FE,ours,3
FB_048_79F71CE3,ours,5
FB_049_4416C718,ours,5
FB_050_A0B82AEA,ours,2
FB_051_091D46D5,ours,4
FB_052_FC76DF78,ours,2
FB_053_05E755A5,ours,3
FB_054_F1BBC565,ours,4
FB_055_B75D0172,ours,5
FB_056_E46FAB20,ours,1
FB_057_2D006C3F,ours,5
FB_058_4FC4F0E9,ours,4
FB_060_D8048F85,ours,5
FB_061_B30537F0,ours,2
FB_062_CCEDD88C,ours,4
FB_063_38B981AD,ours,5
FB_064_7576A9AF,ours,1
FB_065_8F3B2425,ours,4
FB_067_92C7D508,ours,2
FB_068_46FFC913,ours,5
FB_069_15B93D82,ours,2
FB_070_4418F850,ours,5
FB_071_0CB99E74,ours,4
FB_072_05A484DC,ours,5
FB_073_5495DBB9,ours,3
FB_074_499976A7,ours,5
FB_075_D5F39BB5,ours,3
FB_076_1BF5949C,ours,2
FB_077_6547C156,ours,5
FB_078_F8A3C776,ours,5
FB_079_C8770283,ours,5
FB_081_4E1CC3D9,ours,4
FB_082_4FFC55E4,ours,5
FB_083_62A760DF,ours,5
FB_084_403F35B5,ours,5
FB_085_149EBAE9,ours,5
FB_086_889F46BB,ours,2
FB_087_99FD2FB2,ours,5
FB_088_DD231ABD,ours,4
FB_089_CF6163C6,ours,5
FB_090_72CFB567,ours,2
FB_091_82F6C167,ours,4
FB_092_1FF70EDD,ours,4
FB_093_3013F02B,ours,4
FB_094_62DF77C2,ours,5
FB_095_25B2B23C,ours,4
FB_096_3F49DA9A,ours,4
FB_097_2BA7758E,ours,4
FB_098_7154A728,ours,4
FB_099_6BE111D5,ours,4
FB_100_6814F36E,ours,2
FB_101_79109208,ours,4
FB_102_F5764A3D,ours,4
FB_103_98E6E9E2,ours,5
FB_104_AE0FFD33,ours,5
FB_105_61DCE693,ours,3
FB_106_EB0A9203,ours,5
FB_107_B17259C6,ours,3
FB_108_8E72B311,ours,3
FB_109_F3781DA6,ours,2
FB_110_74F7847F,ours,4
FB_111_A4B199F5,ours,5
FB_112_2DC55A31,ours,5
FB_113_30E7F266,ours,5
FB_114_ACC06CE8,ours,5
FB_115_AE55E4C4,ours,5
FB_116_1C09CCA7,ours,5
FB_117_C880E731,ours,5
FB_118_8B6021A4,ours,2
FB_119_3CD84B18,ours,4
FB_120_223C47BE,ours,5
FB_124_C0D9EB5C,ours,4
FB_125_E7A2D24B,ours,4
FB_126_3313FCA9,ours,5
FB_127_E1B380E5,ours,5
FB_128_F410AC0E,ours,4
FB_129_1F62F697,ours,5
FB_130_B646D047,ours,2
FB_131_3A78CB5F,ours,4
FB_132_9F7A4F77,ours,4
FB_133_F4882588,ours,5
FB_134_8EAD738D,ours,3
FB_135_DFC4B0A4,ours,5
FB_137_A71B03EF,ours,2
FB_138_1767BBA1,ours,5
FB_139_4FC46F83,ours,2
FB_140_E38BA3D2,ours,3
FB_141_339C8E4B,ours,4
FB_142_54C31BE1,ours,5
FB_143_A0EA48F4,ours,2
FB_144_BD395CC4,ours,2
FB_145_F02E8ED1,ours,4
FB_146_6EE83766,ours,5
FB_147_D81E1F94,ours,2
FB_148_2F878B14,ours,2
FB_149_247B6607,ours,4
FB_150_3E3CE551,ours,5
